image_id,target_class,deletion_auc,insertion_auc
ISIC_0029836,1,0.19725202023983002,0.2569301426410675
ISIC_0032129,2,0.04029258340597153,0.12733401358127594
ISIC_0027815,2,0.2613551914691925,0.2085987627506256
ISIC_0029413,4,0.1247922033071518,0.09445696324110031
ISIC_0029576,2,0.09279447048902512,0.14001382887363434
ISIC_0025140,4,0.13683228194713593,0.11439387500286102
ISIC_0025554,2,0.028819650411605835,0.14702686667442322
ISIC_0029418,5,0.8682859539985657,0.7988201975822449
ISIC_0027455,5,0.7940478324890137,0.8463630080223083
ISIC_0033744,4,0.042782388627529144,0.07574047893285751
ISIC_0033659,0,0.04327751696109772,0.05153258144855499
ISIC_0033449,2,0.10101630538702011,0.17640496790409088
ISIC_0033676,2,0.11432014405727386,0.07024484127759933
ISIC_0028792,2,0.031219450756907463,0.17299364507198334
ISIC_0033397,2,0.1004716008901596,0.18874689936637878
ISIC_0033414,5,0.7236977219581604,0.8356595039367676
ISIC_0034113,2,0.07504130154848099,0.19461265206336975
ISIC_0029014,2,0.11118053644895554,0.15811307728290558
ISIC_0027513,2,0.12145340442657471,0.09042011201381683
ISIC_0028701,5,0.9327731132507324,0.8475576639175415
ISIC_0027139,5,0.8298245072364807,0.938845157623291
ISIC_0026844,3,0.006902841851115227,0.0194767564535141
ISIC_0025656,2,0.10400565713644028,0.14993515610694885
ISIC_0028336,3,0.010640640743076801,0.023422764614224434
ISIC_0024971,2,0.03995959833264351,0.08217255771160126
ISIC_0029522,5,0.7906737923622131,0.8552823066711426
ISIC_0027026,0,0.06282104551792145,0.04041271656751633
ISIC_0031060,2,0.07923050969839096,0.15654367208480835
ISIC_0030744,2,0.04641737788915634,0.10014658421278
ISIC_0029100,2,0.08222917467355728,0.04773268476128578
ISIC_0026443,2,0.036684975028038025,0.12555280327796936
ISIC_0024453,2,0.12630490958690643,0.1612791121006012
ISIC_0032006,2,0.07550384849309921,0.1335020512342453
ISIC_0028920,2,0.06033312901854515,0.20093509554862976
ISIC_0031770,3,0.021455327048897743,0.008097190409898758
ISIC_0031819,6,0.07582622766494751,0.05741294473409653
ISIC_0027706,2,0.04921628534793854,0.1259627640247345
ISIC_0027006,4,0.00416819890961051,0.04321979358792305
ISIC_0029596,2,0.03217758238315582,0.08995437622070312
ISIC_0031078,2,0.1263480931520462,0.07889934629201889
ISIC_0031464,2,0.09613990783691406,0.07187626510858536
ISIC_0024772,5,0.7937082052230835,0.749718964099884
ISIC_0025973,2,0.05416930466890335,0.10745419561862946
ISIC_0026614,2,0.049207549542188644,0.06466188281774521
ISIC_0029810,2,0.03450753167271614,0.10660538077354431
ISIC_0026316,2,0.08046694844961166,0.12613855302333832
ISIC_0024910,2,0.07537001371383667,0.22229968011379242
ISIC_0032024,2,0.02427542395889759,0.13088440895080566
ISIC_0030533,2,0.018290771171450615,0.06488675624132156
ISIC_0026365,1,0.08101965487003326,0.20862776041030884
ISIC_0031903,2,0.05731998011469841,0.1634608805179596
ISIC_0027064,5,0.8935671448707581,0.8009709119796753
ISIC_0030988,2,0.03560108691453934,0.10039595514535904
ISIC_0024336,2,0.041383977979421616,0.13765691220760345
ISIC_0030372,0,0.022123148664832115,0.0414491631090641
ISIC_0028404,5,0.8983986377716064,0.7721019387245178
ISIC_0029406,2,0.06111585721373558,0.22601519525051117
ISIC_0031980,2,0.09018723666667938,0.13198287785053253
ISIC_0026871,2,0.021788515150547028,0.0415022037923336
ISIC_0028236,5,0.9420357346534729,0.740789532661438
ISIC_0029612,1,0.02805349789559841,0.1896636188030243
ISIC_0028913,2,0.06155047193169594,0.06902126222848892
ISIC_0029443,1,0.03138873353600502,0.12001243233680725
ISIC_0025623,2,0.09495995938777924,0.20126430690288544
ISIC_0031465,2,0.07786218076944351,0.12814895808696747
ISIC_0027770,2,0.0747443214058876,0.15652072429656982
ISIC_0024709,3,0.009741663001477718,0.033560752868652344
ISIC_0024786,2,0.052847739309072495,0.15683159232139587
ISIC_0031037,5,0.8749176263809204,0.820289134979248
ISIC_0030383,2,0.0493457205593586,0.13958120346069336
ISIC_0025465,2,0.06032082810997963,0.19879773259162903
ISIC_0026277,2,0.10633131861686707,0.1288909614086151
ISIC_0025378,2,0.0656023770570755,0.17181551456451416
ISIC_0030394,2,0.08407080918550491,0.15629692375659943
ISIC_0027162,2,0.05603589862585068,0.20767715573310852
ISIC_0027270,2,0.10988137125968933,0.1725344955921173
ISIC_0031329,2,0.07767035067081451,0.185219869017601
ISIC_0025103,2,0.07483192533254623,0.3441540002822876
ISIC_0025710,2,0.05515458807349205,0.30447474122047424
ISIC_0028992,2,0.016274193301796913,0.09510848671197891
ISIC_0026351,2,0.031056707724928856,0.09408139437437057
ISIC_0026530,2,0.1098087877035141,0.12845323979854584
ISIC_0024409,2,0.07465580850839615,0.18252626061439514
ISIC_0029924,2,0.03362751007080078,0.11799827218055725
ISIC_0028309,2,0.1418868452310562,0.12448136508464813
ISIC_0027905,5,0.8739983439445496,0.8744422197341919
ISIC_0024909,2,0.09150508791208267,0.1721576452255249
ISIC_0028258,2,0.11887503415346146,0.20915551483631134
ISIC_0030630,2,0.010724682360887527,0.07305974513292313
ISIC_0032315,5,0.8202857375144958,0.8460484743118286
ISIC_0028411,2,0.1269579976797104,0.1365576535463333
ISIC_0032681,2,0.19887931644916534,0.10508382320404053
ISIC_0033509,2,0.14794908463954926,0.19213427603244781
ISIC_0032694,2,0.06439679861068726,0.1913520097732544
ISIC_0032827,2,0.20135922729969025,0.22956347465515137
ISIC_0033022,2,0.14013634622097015,0.169772207736969
ISIC_0033246,2,0.05093023180961609,0.17809219658374786
ISIC_0032843,2,0.07574357092380524,0.09755176305770874
ISIC_0031601,2,0.04926903918385506,0.10244667530059814
ISIC_0030323,2,0.03040999546647072,0.09477371722459793
ISIC_0032271,2,0.05342726409435272,0.1664750874042511
ISIC_0029801,2,0.11905926465988159,0.14079032838344574
ISIC_0028826,2,0.069795161485672,0.2021973431110382
ISIC_0026967,2,0.060124486684799194,0.16803893446922302
ISIC_0025131,2,0.10296570509672165,0.20910249650478363
ISIC_0030226,2,0.10196778178215027,0.18340140581130981
ISIC_0029676,2,0.15385693311691284,0.10773460566997528
ISIC_0029741,2,0.05301403999328613,0.17667825520038605
ISIC_0028925,2,0.0794813483953476,0.11995572596788406
ISIC_0031362,2,0.08823614567518234,0.09157393127679825
ISIC_0027613,3,0.01860397309064865,0.008490098640322685
ISIC_0032468,6,0.015527996234595776,0.040578003972768784
ISIC_0032642,3,0.015645788982510567,0.05885845422744751
ISIC_0033790,3,0.02807680517435074,0.06880559027194977
ISIC_0033675,3,0.006651788484305143,0.016263172030448914
ISIC_0032247,3,0.012620599009096622,0.016775308176875114
ISIC_0031429,3,0.00811645109206438,0.017602168023586273
ISIC_0030321,1,0.05772630497813225,0.048739638179540634
ISIC_0024318,3,0.05268115922808647,0.10251267999410629
ISIC_0024396,3,0.06291010230779648,0.14343734085559845
ISIC_0024553,5,0.8152494430541992,0.8221379518508911
ISIC_0025771,3,0.028673440217971802,0.10713452845811844
ISIC_0030443,5,0.7536669373512268,0.7485122680664062
ISIC_0031499,2,0.06162020191550255,0.08329945057630539
ISIC_0030060,4,0.31731367111206055,0.19530808925628662
ISIC_0030211,4,0.22792792320251465,0.13561031222343445
ISIC_0025603,5,0.7824191451072693,0.8147495985031128
ISIC_0024624,2,0.04995463788509369,0.08661393076181412
ISIC_0024951,4,0.0778723657131195,0.06441257894039154
ISIC_0030106,3,0.02448967844247818,0.04253215342760086
ISIC_0029370,4,0.068986676633358,0.1733718067407608
ISIC_0031958,4,0.07333257794380188,0.03320042043924332
ISIC_0028219,1,0.018372690305113792,0.03930298984050751
ISIC_0026314,5,0.734007716178894,0.8202914595603943
ISIC_0027033,5,0.882507860660553,0.748465895652771
ISIC_0027822,2,0.04334788769483566,0.1534346342086792
