image_id,iou,pointing_game_hit,heatmap_positive_fraction
ISIC_0024313,0.5383697813121272,True,0.20001594387755103
ISIC_0024318,0.2897328573187246,True,0.20001594387755103
ISIC_0024329,0.2657576537175199,False,0.20001594387755103
ISIC_0024332,0.07307390280080273,False,0.20001594387755103
ISIC_0024336,0.24329779852393868,False,0.20009566326530612
ISIC_0024347,0.7764367816091954,True,0.20001594387755103
ISIC_0024369,0.2908666786291046,False,0.20001594387755103
ISIC_0024396,0.3101460796979032,False,0.20001594387755103
ISIC_0024404,0.2621301185613231,True,0.20001594387755103
ISIC_0024409,0.16451360344490115,False,0.20001594387755103
ISIC_0024421,0.24268347591175146,False,0.20001594387755103
ISIC_0024429,0.05533046732440541,False,0.20001594387755103
ISIC_0024438,0.1971207841268761,True,0.20015545280612246
ISIC_0024441,0.3274282223579719,False,0.20001594387755103
ISIC_0024453,0.17206210675867667,False,0.20001594387755103
ISIC_0024455,0.29867112721865996,False,0.20001594387755103
ISIC_0024465,0.13610140570407087,False,0.20001594387755103
ISIC_0024475,0.2399883642005236,True,0.20009566326530612
ISIC_0024478,0.3366290457979666,True,0.20001594387755103
ISIC_0024487,0.48176927674835623,True,0.2000358737244898
ISIC_0024511,0.09221761405220785,True,0.20001594387755103
ISIC_0024521,0.23053208495090202,True,0.20001594387755103
ISIC_0024527,0.15696082561078348,False,0.20001594387755103
ISIC_0024530,0.2436484798000833,False,0.20001594387755103
ISIC_0024533,0.44906637086337586,False,0.20001594387755103
ISIC_0024553,0.1794829775902331,False,0.20001594387755103
ISIC_0024564,0.02942830365510778,False,0.2001155931122449
ISIC_0024566,0.20153965919903122,False,0.20001594387755103
ISIC_0024575,0.36108857585367654,True,0.20001594387755103
ISIC_0024577,0.39697090474292546,True,0.20001594387755103
ISIC_0024599,0.3058893047075044,False,0.20001594387755103
ISIC_0024624,0.31769844284086596,False,0.2001355229591837
ISIC_0024640,0.14189149816444263,False,0.20001594387755103
ISIC_0024655,0.1853040922450825,False,0.20015545280612246
ISIC_0024659,0.21656490576055215,False,0.2001355229591837
ISIC_0024673,0.0855594893251797,False,0.20005580357142858
ISIC_0024678,0.5459724950884086,True,0.20001594387755103
