image_id,iou,pointing_game_hit,heatmap_positive_fraction
ISIC_0024313,0.49324715415782366,True,0.20007573341836735
ISIC_0024318,0.7585396558959295,True,0.20001594387755103
ISIC_0024329,0.30631029294627843,False,0.20001594387755103
ISIC_0024332,0.5892614847838729,True,0.20001594387755103
ISIC_0024336,0.7646637413808544,True,0.20001594387755103
ISIC_0024347,0.7529300567107751,True,0.20001594387755103
ISIC_0024369,0.6656633479972216,True,0.20001594387755103
ISIC_0024396,0.3136707851733758,True,0.20001594387755103
ISIC_0024404,0.2622558788361897,True,0.20001594387755103
ISIC_0024409,0.1856317257871662,True,0.20001594387755103
ISIC_0024421,0.5372618915005013,True,0.20001594387755103
ISIC_0024429,0.4130362762961736,True,0.20001594387755103
ISIC_0024438,0.39738546509317757,True,0.20001594387755103
ISIC_0024441,0.6172785909203672,True,0.2000358737244898
ISIC_0024453,0.6702096890817064,True,0.20001594387755103
ISIC_0024455,0.39248704663212436,True,0.20001594387755103
ISIC_0024465,0.5597947344935297,True,0.20001594387755103
ISIC_0024475,0.27381426863292146,True,0.20001594387755103
ISIC_0024478,0.41937400950871634,True,0.20001594387755103
ISIC_0024487,0.46100196463654225,True,0.20001594387755103
ISIC_0024511,0.228835823236482,True,0.20001594387755103
ISIC_0024521,0.63846446218168,True,0.20001594387755103
ISIC_0024527,0.5840121098536726,True,0.20005580357142858
ISIC_0024530,0.478949975235265,True,0.20001594387755103
ISIC_0024533,0.5277263424617483,True,0.20001594387755103
ISIC_0024553,0.48608888659474525,True,0.20001594387755103
ISIC_0024564,0.5058511610897788,True,0.20001594387755103
ISIC_0024566,0.37657318402536916,True,0.20001594387755103
ISIC_0024575,0.62384513858337,True,0.20001594387755103
ISIC_0024577,0.39697090474292546,True,0.20001594387755103
ISIC_0024599,0.07612400584320728,False,0.20001594387755103
ISIC_0024624,0.38222399362295734,True,0.20001594387755103
ISIC_0024640,0.34421731376046094,True,0.20001594387755103
ISIC_0024655,0.5947179455972738,True,0.20001594387755103
ISIC_0024659,0.3801662850945897,True,0.20001594387755103
ISIC_0024673,0.3309229555613989,True,0.20023517219387754
ISIC_0024678,0.5560059317844785,True,0.2000358737244898
ISIC_0024680,0.5542048624950179,True,0.20001594387755103
ISIC_0024683,0.1675966520526106,True,0.20001594387755103
ISIC_0024684,0.3196687370600414,True,0.20001594387755103
ISIC_0024694,0.6065375302663438,True,0.20001594387755103
ISIC_0024697,0.4228082800660373,True,0.20001594387755103
ISIC_0024709,0.3299950820405061,True,0.20001594387755103
ISIC_0024717,0.562052274927396,True,0.20001594387755103
ISIC_0024721,0.4443067115282451,True,0.20001594387755103
ISIC_0024737,0.43383818254284573,True,0.20001594387755103
ISIC_0024739,0.2710113065326633,True,0.20001594387755103
ISIC_0024750,0.49214461480219573,True,0.20001594387755103
ISIC_0024757,0.42462905884882807,True,0.20001594387755103
ISIC_0024772,0.6108861898335582,True,0.20001594387755103
ISIC_0024786,0.5214590044684609,True,0.20001594387755103
ISIC_0024794,0.5039303165498195,True,0.20001594387755103
ISIC_0024801,0.7560521415270018,True,0.20001594387755103
ISIC_0024805,0.612657733836347,True,0.20001594387755103
ISIC_0024812,0.3979223662820665,True,0.20001594387755103
ISIC_0024826,0.5863640771991078,True,0.20005580357142858
ISIC_0024844,0.6024510987684134,True,0.20001594387755103
ISIC_0024855,0.618824586167073,True,0.20001594387755103
ISIC_0024892,0.6700228832951945,True,0.20001594387755103
ISIC_0024896,0.10143483459545635,True,0.20001594387755103
ISIC_0024909,0.6535498839907192,True,0.20001594387755103
ISIC_0024910,0.38511128165771297,True,0.20001594387755103
ISIC_0024919,0.6335892514395394,True,0.20001594387755103
ISIC_0024922,0.41580310880829013,True,0.20001594387755103
ISIC_0024925,0.3867091548828255,True,0.20001594387755103
ISIC_0024928,0.6536237955592794,True,0.20001594387755103
ISIC_0024939,0.7349483153160262,True,0.20001594387755103
ISIC_0024951,0.31152048391531484,False,0.20001594387755103
ISIC_0024958,0.4394289088079008,True,0.20001594387755103
ISIC_0024968,0.2977416798732171,True,0.20001594387755103
ISIC_0024971,0.4901880285737745,True,0.20001594387755103
ISIC_0024980,0.740376672724269,True,0.20001594387755103
ISIC_0024991,0.7673227284982475,True,0.20001594387755103
ISIC_0024998,0.6089831909616974,True,0.20001594387755103
ISIC_0025000,0.10123555201275408,False,0.20001594387755103
ISIC_0025001,0.058888003188521325,True,0.20001594387755103
ISIC_0025004,0.5141962012923439,True,0.20005580357142858
ISIC_0025021,0.3955344793519067,True,0.20001594387755103
ISIC_0025029,0.5196230713472093,True,0.20001594387755103
ISIC_0025031,0.4553347654851414,True,0.20001594387755103
ISIC_0025042,0.7220516660426807,True,0.20001594387755103
ISIC_0025056,0.650131406044678,True,0.20001594387755103
ISIC_0025103,0.34355716878402903,True,0.20001594387755103
ISIC_0025110,0.5069711052737926,True,0.20001594387755103
ISIC_0025111,0.21495003976074403,True,0.20001594387755103
ISIC_0025112,0.17905540055799124,True,0.20001594387755103
ISIC_0025116,0.5144801512287335,True,0.20001594387755103
ISIC_0025117,0.11897170187325627,True,0.20001594387755103
ISIC_0025129,0.2222554293684001,True,0.20005580357142858
ISIC_0025131,0.34934558618769146,True,0.20001594387755103
ISIC_0025140,0.8585311156793123,True,0.20001594387755103
ISIC_0025142,0.5028056112224449,True,0.20001594387755103
ISIC_0025147,0.49199880727561873,True,0.20001594387755103
ISIC_0025161,0.7989472775908188,True,0.20001594387755103
ISIC_0025163,0.4370917727782543,True,0.20001594387755103
ISIC_0025178,0.48553309552120494,True,0.20001594387755103
ISIC_0025190,0.728619137505445,True,0.20001594387755103
ISIC_0025215,0.37915919505877665,True,0.20001594387755103
ISIC_0025229,0.6622467771639042,True,0.20001594387755103
ISIC_0025236,0.4194898365882822,True,0.20001594387755103
ISIC_0025247,0.3556217543577151,True,0.20001594387755103
ISIC_0025265,0.1587285771223595,True,0.20001594387755103
ISIC_0025266,0.23001063521222082,True,0.20001594387755103
